"epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2"
"1,172.41,1.68681,3.15267,1.62631,0.45429,0.46209,0.3839,0.24869,1.81691,2.1675,1.56876,0.070101,0.00332211,0.00332211"
"2,332.028,1.6735,2.37408,1.62618,0.50907,0.43642,0.4005,0.2563,1.94492,2.00975,1.71868,0.0400771,0.00663148,0.00663148"
"3,490.067,1.75098,2.36733,1.68755,0.44931,0.37855,0.34195,0.22747,2.05112,2.44604,1.8444,0.0100291,0.00991686,0.00991686"
"4,655.356,1.82711,2.39675,1.75253,0.38093,0.43698,0.33507,0.2276,1.97919,3.99793,1.76209,0.009892,0.009892,0.009892"
"5,812.175,1.78373,2.31834,1.71269,0.41843,0.44999,0.38806,0.2483,1.97908,2.3008,1.73579,0.009856,0.009856,0.009856"
"6,969.768,1.74445,2.21447,1.70036,0.53989,0.38129,0.40245,0.26134,1.92917,1.97536,1.75446,0.00982,0.00982,0.00982"
"7,1130.47,1.71159,2.09989,1.67902,0.59467,0.42815,0.43574,0.28396,1.77455,1.86151,1.55552,0.009784,0.009784,0.009784"
"8,1290.46,1.69561,2.03913,1.64789,0.53961,0.43296,0.41994,0.26342,1.93405,2.07627,1.67409,0.009748,0.009748,0.009748"
"9,1450.96,1.69691,2.04401,1.66101,0.60092,0.44193,0.45715,0.28656,1.89674,1.86228,1.65589,0.009712,0.009712,0.009712"
"10,1613.79,1.68133,1.98519,1.64481,0.60568,0.46615,0.48096,0.30537,1.82107,1.83238,1.61441,0.009676,0.009676,0.009676"
"11,1775.63,1.65695,1.93319,1.62249,0.62495,0.47571,0.49925,0.32268,1.75652,1.64107,1.56302,0.00964,0.00964,0.00964"
"12,1939.63,1.65135,1.91431,1.61156,0.57513,0.50956,0.50053,0.3231,1.74576,1.59185,1.52832,0.009604,0.009604,0.009604"
"13,2100.18,1.60725,1.83712,1.60219,0.64303,0.50799,0.51741,0.32439,1.77609,1.66513,1.5583,0.009568,0.009568,0.009568"
"14,2255.58,1.62932,1.8236,1.58422,0.63543,0.51134,0.52794,0.33083,1.75101,1.58547,1.52944,0.009532,0.009532,0.009532"
"15,2414.43,1.59614,1.80981,1.5797,0.58501,0.5106,0.52682,0.33571,1.70795,1.61817,1.50476,0.009496,0.009496,0.009496"
"16,2573.46,1.59324,1.77513,1.57714,0.58254,0.46644,0.49415,0.29785,1.83513,1.81236,1.59071,0.00946,0.00946,0.00946"
"17,2735.27,1.5874,1.73714,1.56497,0.63105,0.51273,0.52709,0.33565,1.70302,1.81218,1.50229,0.009424,0.009424,0.009424"
"18,2897.51,1.57549,1.72941,1.55852,0.57926,0.49612,0.48932,0.311,1.72588,1.76066,1.51543,0.009388,0.009388,0.009388"
"19,3056.28,1.56792,1.7104,1.54083,0.65417,0.53231,0.53757,0.33598,1.73861,1.52283,1.51176,0.009352,0.009352,0.009352"
