epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.836,1.33989,2.70064,1.33198,0.49142,0.50471,0.44575,0.30236,1.54461,1.81499,1.33141,0.070101,0.00332211,0.00332211
2,273.641,1.34563,1.81638,1.33072,0.5789,0.48447,0.48004,0.29552,1.64433,1.73573,1.43895,0.0400411,0.00659554,0.00659554
3,401.149,1.40938,1.80709,1.37881,0.44235,0.36504,0.34447,0.23519,1.81784,2.12997,1.53679,0.00992121,0.00980898,0.00980898
4,527.746,1.46605,1.87175,1.42873,0.47124,0.40132,0.3521,0.23898,1.79279,2.61585,1.52329,0.00973,0.00973,0.00973
5,653.834,1.46267,1.79456,1.41839,0.59678,0.45545,0.45825,0.29855,1.69809,1.75778,1.50285,0.00964,0.00964,0.00964
6,780.925,1.42533,1.67541,1.39161,0.54254,0.50476,0.46641,0.30745,1.64944,1.80122,1.49504,0.00955,0.00955,0.00955
7,910.061,1.40833,1.59981,1.37633,0.61916,0.51292,0.53283,0.34985,1.57556,1.57482,1.4454,0.00946,0.00946,0.00946
8,1039.07,1.37982,1.53521,1.36495,0.60158,0.52797,0.529,0.34447,1.59589,1.55686,1.43893,0.00937,0.00937,0.00937
9,1168.39,1.34555,1.4928,1.35575,0.60913,0.54212,0.5512,0.3562,1.56666,1.47093,1.39594,0.00928,0.00928,0.00928
10,1298.29,1.37364,1.45334,1.35444,0.66839,0.51622,0.54578,0.35835,1.57981,1.50412,1.41734,0.00919,0.00919,0.00919
11,1428.09,1.33411,1.39014,1.32458,0.64891,0.56237,0.56762,0.37172,1.54092,1.4235,1.40343,0.0091,0.0091,0.0091
12,1556.26,1.30321,1.38156,1.31863,0.6777,0.55913,0.58701,0.38439,1.53501,1.38018,1.38368,0.00901,0.00901,0.00901
13,1687.66,1.30271,1.35213,1.30529,0.705,0.58212,0.60312,0.39624,1.49663,1.33104,1.33728,0.00892,0.00892,0.00892
14,1815.68,1.31441,1.32613,1.31469,0.66657,0.56657,0.57874,0.37677,1.53098,1.34618,1.37541,0.00883,0.00883,0.00883
15,1942.35,1.3026,1.31362,1.30658,0.69699,0.57687,0.59839,0.39489,1.48374,1.35065,1.3287,0.00874,0.00874,0.00874
16,2066.8,1.29753,1.277,1.29663,0.73697,0.57085,0.61656,0.40712,1.49966,1.26877,1.35276,0.00865,0.00865,0.00865
17,2194.33,1.25811,1.23989,1.28259,0.71986,0.57279,0.62021,0.40562,1.50651,1.25327,1.34006,0.00856,0.00856,0.00856
18,2322.43,1.28016,1.24788,1.29434,0.7145,0.57373,0.61996,0.41114,1.47968,1.25808,1.32956,0.00847,0.00847,0.00847
19,2449.23,1.25633,1.22434,1.2742,0.71829,0.59015,0.63012,0.41532,1.46261,1.21182,1.30558,0.00838,0.00838,0.00838
20,2577.39,1.24852,1.20694,1.27816,0.72573,0.61853,0.64458,0.42424,1.44746,1.18713,1.3074,0.00829,0.00829,0.00829
21,2704.38,1.22674,1.17548,1.26564,0.71178,0.59877,0.632,0.41918,1.45377,1.19608,1.29641,0.0082,0.0082,0.0082
22,2830.52,1.23306,1.16396,1.26417,0.74104,0.60547,0.63397,0.42722,1.44032,1.19247,1.30263,0.00811,0.00811,0.00811
23,2967.68,1.22705,1.16587,1.26913,0.72596,0.60342,0.64185,0.42805,1.43044,1.17414,1.30709,0.00802,0.00802,0.00802
24,3109.79,1.22628,1.15477,1.25765,0.71783,0.61558,0.63991,0.42272,1.45551,1.20335,1.31891,0.00793,0.00793,0.00793
25,3259.62,1.20536,1.10826,1.24966,0.74268,0.58999,0.63446,0.41537,1.42989,1.20996,1.27548,0.00784,0.00784,0.00784
26,3402.86,1.22872,1.12117,1.25751,0.75786,0.61034,0.65467,0.42785,1.4283,1.13002,1.27713,0.00775,0.00775,0.00775
27,3542.24,1.20531,1.10647,1.23942,0.73994,0.63282,0.66985,0.44312,1.42399,1.11362,1.29034,0.00766,0.00766,0.00766
28,3672.86,1.21285,1.10007,1.25007,0.70425,0.61183,0.65057,0.43334,1.43445,1.13339,1.29242,0.00757,0.00757,0.00757
