epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
151,170.35,1.24699,0.9714,1.29035,0.79166,0.65272,0.69552,0.47159,1.39994,1.02755,1.26488,0.00325,0.00325,0.00325
152,332.383,1.263,0.9971,1.29859,0.80037,0.66492,0.71054,0.47768,1.41535,0.98614,1.2721,0.003205,0.003205,0.003205
153,496.264,1.25676,0.97797,1.28345,0.82244,0.65508,0.70761,0.47657,1.41396,0.98959,1.2761,0.00316,0.00316,0.00316
154,657.773,1.26688,0.97446,1.28575,0.78908,0.6541,0.70091,0.47164,1.40652,1.00017,1.25691,0.003115,0.003115,0.003115
155,818.376,1.26303,0.98255,1.28869,0.79685,0.67089,0.71035,0.47504,1.41515,0.97541,1.26957,0.00307,0.00307,0.00307
156,983.023,1.26483,0.98309,1.29228,0.78431,0.65832,0.69866,0.47095,1.42447,1.02547,1.27728,0.003025,0.003025,0.003025
157,1148.79,1.25459,0.98994,1.29841,0.79311,0.65154,0.69661,0.47083,1.3965,1.01396,1.27411,0.00298,0.00298,0.00298
158,1320.06,1.25822,0.97284,1.29279,0.76465,0.67314,0.69629,0.46487,1.41804,0.97845,1.27135,0.002935,0.002935,0.002935
159,1485.48,1.26753,1.00063,1.29509,0.77899,0.65075,0.69327,0.46918,1.40214,1.03447,1.26188,0.00289,0.00289,0.00289
160,1650.13,1.27578,0.99832,1.29708,0.79758,0.67038,0.70523,0.47081,1.42002,0.99919,1.26984,0.002845,0.002845,0.002845
161,1823.89,1.25796,0.98706,1.29209,0.78047,0.67309,0.7061,0.47204,1.44516,1.0007,1.2821,0.0028,0.0028,0.0028
162,1997.77,1.26044,0.97806,1.29259,0.81101,0.65924,0.70575,0.47322,1.43695,1.01369,1.28155,0.002755,0.002755,0.002755
163,2170.6,1.23758,0.97734,1.28964,0.7914,0.67526,0.70755,0.46963,1.42422,0.99201,1.27749,0.00271,0.00271,0.00271
164,2338.13,1.26867,0.98339,1.29019,0.80534,0.67682,0.71437,0.47554,1.41258,0.98436,1.26573,0.002665,0.002665,0.002665
165,2503.22,1.23529,0.9655,1.28308,0.7889,0.67852,0.71179,0.4745,1.40577,1.01139,1.26475,0.00262,0.00262,0.00262
166,2677.33,1.25663,0.97479,1.29062,0.80533,0.67152,0.70873,0.4733,1.43346,0.98288,1.28482,0.002575,0.002575,0.002575
167,2840.2,1.25422,0.96573,1.2877,0.78701,0.67492,0.70321,0.46926,1.44203,1.00609,1.29199,0.00253,0.00253,0.00253
168,2999.99,1.24631,0.96539,1.29061,0.81237,0.66995,0.70733,0.47138,1.41714,0.99769,1.27091,0.002485,0.002485,0.002485
