epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.4,1.69424,3.14777,1.63538,0.57709,0.45164,0.42471,0.2806,1.71663,2.016,1.50334,0.070101,0.00332211,0.00332211
2,344.927,1.66732,2.31233,1.62172,0.45843,0.42402,0.40011,0.25917,1.84731,2.04076,1.63421,0.0400611,0.00661551,0.00661551
3,512.192,1.7386,2.29925,1.66675,0.48956,0.38575,0.34823,0.2384,1.91016,2.43917,1.70058,0.00998114,0.00986891,0.00986891
4,674.848,1.80227,2.34582,1.72812,0.4549,0.38711,0.34387,0.23557,1.8586,2.29143,1.70303,0.00982,0.00982,0.00982
5,838.828,1.76041,2.25857,1.70341,0.51586,0.42335,0.4172,0.2677,1.92188,1.9768,1.71448,0.00976,0.00976,0.00976
6,1002.08,1.73243,2.16186,1.67485,0.5305,0.42683,0.41286,0.26552,1.83114,1.96602,1.62671,0.0097,0.0097,0.0097
7,1166.35,1.69028,2.06339,1.65764,0.60994,0.42293,0.45368,0.28565,1.71416,1.82874,1.52629,0.00964,0.00964,0.00964
8,1329.8,1.67631,1.9917,1.63187,0.57568,0.47741,0.47781,0.2955,1.78652,1.74225,1.54967,0.00958,0.00958,0.00958
9,1493.2,1.66948,1.98114,1.6301,0.61747,0.46636,0.50381,0.31159,1.74608,1.68958,1.5417,0.00952,0.00952,0.00952
10,1656.97,1.65582,1.92202,1.61336,0.60619,0.49854,0.50618,0.32666,1.67299,1.77746,1.49994,0.00946,0.00946,0.00946
11,1821.68,1.62802,1.87969,1.59487,0.62484,0.50925,0.53107,0.33883,1.67267,1.5444,1.46826,0.0094,0.0094,0.0094
12,1986.4,1.62836,1.85935,1.59218,0.63817,0.50699,0.52771,0.33906,1.67551,1.59572,1.46889,0.00934,0.00934,0.00934
13,2147.93,1.58661,1.77913,1.57802,0.63032,0.50825,0.52138,0.33622,1.65429,1.64521,1.47326,0.00928,0.00928,0.00928
14,2313.87,1.60954,1.77407,1.56806,0.67702,0.49672,0.54715,0.35362,1.61695,1.53579,1.43423,0.00922,0.00922,0.00922
15,2476.66,1.56627,1.73042,1.55516,0.62115,0.51532,0.53275,0.34799,1.66116,1.51255,1.47347,0.00916,0.00916,0.00916
16,2641.17,1.57252,1.72571,1.55513,0.64517,0.51016,0.54476,0.34116,1.68962,1.54846,1.47585,0.0091,0.0091,0.0091
17,2804.24,1.57511,1.69984,1.54596,0.62206,0.52383,0.53958,0.35269,1.65998,1.57437,1.44986,0.00904,0.00904,0.00904
18,2969.58,1.55233,1.6808,1.54044,0.598,0.55883,0.54287,0.35453,1.59634,1.51585,1.42884,0.00898,0.00898,0.00898
19,3134.12,1.5517,1.68063,1.53242,0.67054,0.52358,0.54897,0.35013,1.63146,1.44393,1.43532,0.00892,0.00892,0.00892
20,3297.39,1.53539,1.65016,1.52122,0.714,0.5625,0.59517,0.37713,1.59554,1.35628,1.41728,0.00886,0.00886,0.00886
21,3461.05,1.52056,1.61489,1.52588,0.66836,0.53946,0.56632,0.37231,1.58692,1.40288,1.41624,0.0088,0.0088,0.0088
22,3624.55,1.53452,1.62426,1.51777,0.6899,0.5369,0.55942,0.35477,1.61353,1.46499,1.42804,0.00874,0.00874,0.00874
23,3785.83,1.49717,1.59518,1.50611,0.72252,0.54278,0.60211,0.38859,1.54943,1.31758,1.38176,0.00868,0.00868,0.00868
24,3947.88,1.50962,1.57982,1.50978,0.71056,0.5839,0.61069,0.39208,1.5748,1.3098,1.40062,0.00862,0.00862,0.00862
25,4108.74,1.51763,1.56417,1.51418,0.71767,0.56201,0.59368,0.38111,1.59935,1.35082,1.41708,0.00856,0.00856,0.00856
26,4271.31,1.50862,1.55099,1.50412,0.70106,0.60599,0.61046,0.39127,1.53202,1.34034,1.3721,0.0085,0.0085,0.0085
27,4430.71,1.50292,1.52629,1.48772,0.69466,0.57038,0.60645,0.38906,1.59276,1.32087,1.39254,0.00844,0.00844,0.00844
28,4591.96,1.48063,1.53044,1.48077,0.71492,0.60272,0.62932,0.40016,1.59486,1.27121,1.39479,0.00838,0.00838,0.00838
29,4753.31,1.48598,1.50698,1.48555,0.67802,0.59384,0.62627,0.4012,1.56579,1.27515,1.38548,0.00832,0.00832,0.00832
30,4915.62,1.46999,1.47576,1.46558,0.68186,0.60801,0.6246,0.40385,1.53725,1.22475,1.36835,0.00826,0.00826,0.00826
31,5077.35,1.4795,1.47534,1.45959,0.7175,0.58748,0.6299,0.41345,1.54272,1.25751,1.35918,0.0082,0.0082,0.0082
32,5238,1.48812,1.49669,1.47844,0.70363,0.5984,0.62114,0.39216,1.59497,1.25274,1.39816,0.00814,0.00814,0.00814
33,5398.71,1.492,1.48222,1.46449,0.70227,0.62087,0.64253,0.40995,1.56322,1.25638,1.38153,0.00808,0.00808,0.00808
34,5560.94,1.46003,1.44848,1.45577,0.68584,0.57512,0.60975,0.40027,1.55505,1.26949,1.36886,0.00802,0.00802,0.00802
35,5725.03,1.47521,1.45814,1.45896,0.74701,0.58585,0.64157,0.41673,1.54874,1.19743,1.3807,0.00796,0.00796,0.00796
36,5889.19,1.45195,1.4241,1.44722,0.74546,0.60265,0.64735,0.42,1.51072,1.21721,1.33757,0.0079,0.0079,0.0079
37,6050.89,1.45328,1.44213,1.45513,0.72975,0.60167,0.6369,0.4099,1.54553,1.24352,1.39952,0.00784,0.00784,0.00784
38,6212.36,1.43506,1.39966,1.45212,0.73169,0.6158,0.64433,0.41657,1.53769,1.24125,1.34475,0.00778,0.00778,0.00778
39,6374.47,1.44727,1.41185,1.4393,0.68598,0.61143,0.63597,0.4139,1.53108,1.21731,1.34989,0.00772,0.00772,0.00772
40,6541.33,1.45393,1.41395,1.45083,0.7304,0.60799,0.65221,0.42034,1.52207,1.17823,1.3425,0.00766,0.00766,0.00766
41,6706.61,1.46405,1.41799,1.44266,0.71559,0.6211,0.6533,0.43185,1.4916,1.18606,1.33265,0.0076,0.0076,0.0076
42,6870.94,1.43446,1.39598,1.4489,0.7389,0.6192,0.658,0.43201,1.50466,1.15327,1.34669,0.00754,0.00754,0.00754
43,7038.37,1.45065,1.40655,1.43161,0.815,0.56922,0.64672,0.42668,1.48136,1.1949,1.31746,0.00748,0.00748,0.00748
44,7202.81,1.44553,1.39263,1.43177,0.73718,0.63293,0.65718,0.42303,1.50728,1.16538,1.33538,0.00742,0.00742,0.00742
45,7366.24,1.43279,1.37992,1.4288,0.73647,0.63089,0.66409,0.43321,1.4874,1.16481,1.33588,0.00736,0.00736,0.00736
46,7530.52,1.43175,1.36894,1.42924,0.75203,0.59915,0.65553,0.42776,1.51371,1.16318,1.34396,0.0073,0.0073,0.0073
47,7694.77,1.44977,1.3595,1.438,0.7358,0.62686,0.66156,0.42862,1.52656,1.12205,1.35143,0.00724,0.00724,0.00724
48,7857.13,1.44019,1.34821,1.43074,0.76317,0.59465,0.6566,0.43465,1.46566,1.12952,1.30251,0.00718,0.00718,0.00718
